부록 3.건폐율 용적률 현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
(단위 : %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도시명,전용주거지역,,,,일반주거지역,,,,,,준주거지역,,상업지역,,,,,,,,공업지역,,,,,,녹지지역,,,,,,관리지역,,,,,,농림지역,,자연환경보전지역,
,제1종 전용주거,,제2종 전용주거,,제1종 일반주거,,제2종 일반주거,,제3종 일반주거,,,,중심상업,,일반상업,,근린상업,,유통상업,,전용공업,,일반공업,,준공업,,보전녹지,,생산녹지,,자연녹지,,보전관리,,생산관리,,계획관리,,,,,
, 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 , 건폐율 , 용적률 
서울특별시,50,100,40,120,60,150,60,200,50,250,60,400,60,1000,60,800,60,600,60,600,60,200,60,200,60,400,20,50,20,50,20,50,0,0,0,0,0,0,0,0,0,0
부산광역시,50,100,40,120,60,180,60,220,50,300,60,400,80,1300,60,1000,60,700,60,800,70,300,70,350,70,400,20,60,20,80,20,80,0,0,0,0,0,0,0,0,20,60
대구광역시,50,100,40,120,60,200,60,220,50,250,60,400,80,1300,70,1000,70,800,70,900,70,300,70,350,70,400,20,60,20,100,20,100,20,80,20,80,40,100,20,80,20,80
인천광역시,50,80,50,120,60,200,60,250,50,300,60,500,80,1300,70,1000,70,700,70,800,70,300,70,350,70,400,20,50,20,80,20,80,20,80,20,80,40,100,20,80,20,80
광주광역시,40,80,40,120,60,150,60,220,50,250,60,400,70,1300,60,1000,60,700,60,800,70,300,70,350,70,400,20,60,20,60,20,60,20,80,20,80,40,90,20,60,20,60
대전광역시,50,100,40,120,60,150,60,200,50,250,60,400,80,1300,70,1100,60,700,70,900,70,300,70,350,70,400,20,60,20,70,20,80,20,60,20,70,40,80,20,70,20,60
울산광역시,50,100,50,150,60,150,60,200,50,300,70,500,80,1300,70,1200,60,700,70,900,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
세종특별자치시,50,100,50,150,60,200,60,250,50,300,70,400,80,1300,80,1100,70,700,80,900,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
경기도 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수원시,40,100,30,150,60,200,60,250,40,300,70,400,90,1000,80,800,70,600,60,400,70,300,60,350,60,400,20,50,20,100,20,100,20,80,20,80,40,100,20,80,20,80
성남시,50,100,50,120,60,160,60,210,50,280,70,400,70,600,80,1000,70,600,80,600,70,300,70,350,70,400,20,70,20,50,20,100,0,0,0,0,0,0,0,0,0,0
의정부시,40,80,50,120,60,200,60,250,50,300,60,500,80,1000,80,1000,60,500,60,500,70,300,70,350,70,400,20,50,20,60,20,80,0,0,0,0,0,0,0,0,0,0
안양시,50,100,50,100,60,200,60,250,50,280,60,400,80,1000,80,800,0,0,0,0,0,0,70,300,70,300,20,50,0,0,20,80,0,0,0,0,0,0,0,0,0,0
부천시,50,100,50,120,60,190,60,230,50,280,60,400,80,1000,60,800,60,600,60,600,70,300,60,350,60,400,20,50,20,50,20,80,0,0,0,0,0,0,0,0,0,0
광명시,50,80,50,120,60,150,60,240,50,280,70,450,80,1100,70,800,70,700,70,700,70,250,70,300,70,300,20,50,20,100,20,80,0,0,0,0,0,0,0,0,0,0
평택시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,60,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
동두천시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
안산시,40,100,50,150,60,200,60,250,50,300,70,500,70,1100,70,1100,70,800,60,1000,70,300,70,350,70,400,20,50,20,80,20,80,0,0,0,0,0,0,0,0,20,50
고양시,50,100,50,150,60,180,60,230,50,250,60,380,80,1200,70,900,60,700,70,400,70,300,70,350,70,400,20,50,20,90,20,100,20,80,20,80,40,100,20,80,20,50
과천시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,50,0,0,20,60,0,0,0,0,0,0,0,0,0,0
구리시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,0,0,20,100,20,80,20,80,40,80,20,50,20,50
남양주시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,900,70,900,80,900,70,300,70,350,70,400,20,80,20,100,20,100,20,60,20,80,40,100,20,60,20,60
오산시,50,80,50,120,60,180,60,230,50,280,70,400,80,1000,80,800,70,500,60,400,70,300,70,350,70,400,20,50,20,80,20,100,0,0,0,0,0,0,0,0,0,0
시흥시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,0,0,0,0,70,350,70,400,20,80,0,0,20,100,0,0,0,0,0,0,0,0,0,0
군포시,40,80,50,120,60,200,60,230,50,280,60,300,70,1000,70,800,60,600,60,500,70,250,70,350,70,300,20,50,20,60,20,80,0,0,0,0,0,0,0,0,0,0
의왕시,50,100,50,150,60,200,60,250,50,300,70,500,80,1000,80,1300,60,700,60,700,70,300,70,350,70,400,20,60,20,60,20,100,0,0,0,0,0,0,0,0,0,0
하남시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,0,0,70,350,70,400,20,80,20,100,20,100,0,0,0,0,0,0,0,0,0,0
용인시,50,100,50,150,60,200,60,240,50,290,70,450,90,1100,80,900,70,700,80,800,70,250,70,300,70,350,20,70,20,100,20,100,20,80,20,80,40,100,20,70,20,70
파주시,40,80,50,120,60,180,60,250,50,300,60,300,80,1000,80,900,70,600,70,600,70,200,70,250,70,250,20,50,20,50,20,80,20,80,20,80,40,100,20,50,20,50
이천시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
안성시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
김포시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
화성시,50,80,50,120,60,180,60,250,50,270,70,400,80,1000,80,800,70,400,70,400,70,300,70,350,70,400,20,60,20,80,20,100,20,60,20,80,40,100,20,60,20,50
광주시,50,100,50,150,60,180,60,230,50,300,70,450,90,1000,80,900,70,500,60,400,70,300,70,350,60,400,20,80,20,80,20,100,20,80,20,80,40,100,20,50,20,50
양주시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
포천시,50,80,50,120,60,200,60,250,50,300,70,500,90,1000,80,800,70,600,80,600,70,250,70,350,70,350,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
여주시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,900,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
가평군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
연천군,50,80,50,120,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,70,1000,70,300,70,300,70,350,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
양평군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
강원특별자치도 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
춘천시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
원주시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
강릉시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
동해시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
태백시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
속초시,50,100,50,150,60,200,60,250,50,300,70,400,90,1000,80,800,70,700,80,800,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
삼척시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
홍천군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
횡성군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
영월군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
평창군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
정선군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
철원군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
화천군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
양구군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
인제군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
고성군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
양양군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
충청북도 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충주시,40,100,50,150,60,200,60,250,50,300,70,500,90,900,80,800,70,600,70,600,70,250,70,350,70,400,20,50,20,80,20,80,20,80,20,80,40,100,20,80,20,50
제천시,50,80,50,150,60,200,60,250,50,300,70,500,90,900,80,800,70,600,70,600,70,300,70,350,70,400,20,60,20,80,20,100,20,60,20,80,40,100,20,80,20,80
청주시,40,80,50,120,60,200,60,250,50,300,70,500,80,1000,80,1000,70,900,70,600,70,300,70,350,60,350,20,80,20,80,20,100,20,80,20,80,40,100,20,80,20,80
보은군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
영동군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
진천군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
괴산군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
옥천군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
음성군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
단양군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
증평군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
충청남도 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
천안시,50,100,50,150,60,200,60,250,50,300,70,500,90,1200,80,1100,70,700,80,700,70,300,70,350,70,350,20,60,20,80,20,80,20,80,20,80,40,100,20,80,20,60
공주시,50,100,50,150,60,150,60,220,50,250,70,400,90,900,80,800,70,500,80,600,70,200,70,350,70,400,20,50,20,80,20,80,20,80,20,80,40,100,20,80,20,50
보령시,50,100,50,150,60,200,60,250,50,300,70,400,90,1000,80,800,70,700,80,800,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
아산시,50,80,50,150,60,180,60,250,50,280,70,400,90,1300,80,1100,70,700,80,700,70,300,70,350,70,400,20,70,20,80,20,80,20,80,20,80,40,100,20,80,20,60
서산시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
논산시,50,100,50,150,60,200,60,250,50,300,70,400,90,1300,80,1100,70,700,80,900,70,300,70,350,70,400,20,80,20,80,20,100,20,80,20,80,40,100,20,80,20,80
계룡시,40,100,40,150,60,200,60,250,50,300,60,400,70,1300,60,1100,60,700,60,900,70,300,70,350,70,400,20,80,20,80,20,80,0,0,0,0,0,0,0,0,20,80
당진시,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,60
금산군,50,100,50,150,60,200,60,250,50,300,70,500,90,1500,80,1300,70,900,80,1100,70,300,70,350,70,400,20,80,20,100,20,100,20,80,20,80,40,100,20,80,20,80
